department,fiscal_year,program,umbrella,description,fy_started,category_youth_development,data_quality,centralized_db,youth_served,youth_served_accuracy,demographic_info_collected,race_ethnicity,gender,household_income,age_range,grade_level,participation_frequency,multienrollment,program_season,service_area_council_district,total_funding_dollars,funding_accuracy,funding_source,general_fund_percentage,general_fund_source_amount,special_purpose_source_amount,city_staff,service_providers_contractors,recruitment_strategy,interactions,additional_info
CityAttorney,2023-2024,Homeless Engagement and Response Team (H.E.A.R.T.),Yes,"The Los Angeles City Attorney's Homeless Engagement and Response Team (H.E.A.R.T.) administers the Los Angeles County Homeless Court Program.  HEART  helps unhoused individuals or individuals at risk of experiencing homelessness clear traffic and pedestrian tickets by engaging in services instead of paying expensive fines and fees.  HEART accepts direct referrals from approved service providers, including providers that work directly with youth (18+), to provide assistance with ticket clearance.  HEART also attends homeless youth record clearance events to connect youth with services and remove barriers to housing, education, and employment.",FY 2015/2016,Basic Needs and Stability,Excellent,Yes,148,Exact Amount,"Race/ethnicity, Household Income, Gender, Address or Zipcode, Other",Yes,Yes,Yes,"18 to 19, 20 to 25, 25 to 30",Post-secondary,One time (drop-in),No,Year-round,"CD 1, CD 2,  CD 3, CD 4, CD 5,  CD 6, CD 7, All Council Districts",965635,Exact,Special Purpose Funds (County),,,,6-9,,"Referrals, Community Partnerships, Physical Flyers, Emails, Educational Partners, Outreach Events, Department Website","Social workers, Other",
CityAttorney,2023-2024,Transitional Aged Youth Diversion Program (TAY Diversion),No,"TAY Diversion is a post-filing, in-court diversion program for young adults aged 18-25. Participants agree to 6 or 12 months of diversion in which they agree to make progress in obtaining a job or furthering their education and engaging in community service. Participants also agree to make monthly court appearances for progress reports and have weekly contact with a case manager from a service provider. Upon completion of diversion, the participant's case is dismissed.",2019,Safety and Justice,Fair,Yes,53,Exact Amount,Address or Zipcode,Yes,No,,18 to 19,Post-secondary,Multiple times,Yes,Year-round,All Council Districts,,,General Fund (City),,,,1-3,2,"Referrals, Other","Other, City department staff",
CityAttorney,2023-2024,Neighborhood Justice Program,Yes,"The Neighborhood Justice Program (NJP) of the Los Angeles City Attorney's Office is a diversion program that helps offenders, with minimal to no criminal history, resolve their case in the community instead of the courtroom. The program utilizes restorative justice practices. Program participants are provided with resources and services, in hopes of preventing negative future involvement with the criminal justice system.",FY2014/2015,"Safety and Justice, Health and Wellbeing, Basic Needs and Stability",Very good,Yes,119,Exact Amount,"Justice-involved, Race/ethnicity, Gender, Household Income, Address or Zipcode",Yes,Yes,Yes,"20 to 25, 18 to 19, 25 to 30",Post-secondary,Multiple times,No,Year-round,All Council Districts,1324071,Estimate,"General Fund (City), Special Purpose Funds (County)",90%,,"Dispute Resolution Program Act Grant, administered by the LA County Dept. of Business and Consumer Affairs. appx 10% ($137,810 in FY23/24)",6-9,"1 grantor, no contractors but we have over 200 plus unpaid volunteers and about a dozen community partners.","Referrals, Community Partnerships, Outreach Events, Department Website, Educational Partners",City department staff,"NJP has received a total of 9220 referrals, initiated 5,604 cases (meaning individuals agreed to participate in our program), and of those initiated, 5,170  (92%) completed our program and were diverted away from court and a criminal conviction. NJP has a 5% recidivism rate."
CityClerk,2023-2024,Community Outreach and Voter Education Initiative,Yes,"The program consists of partnerships with LAUSD, charter schools and college/university administrators to conduct interactive in-classroom presentations, voter drives and mock elections on campus. Tthe City Clerk is working to establish a student ambassador program for students seeking to become more active in their communities by providing volunteer opportunities to coordinate events within their school campus, assist voter registration tablings during community events and serve as community poll workers in their local Neighborhood Council Elections in exchange for community service required for graduation.",FY 2021-2022,Leadership Development,Good,"No, but there is interest in creating one.",8116,Estimated Amount,,,,,,"K-5th grade, 6-8th grade, 9-12th grade, Post-secondary",Multiple times,,Year-round,All Council Districts,645784,Estimate,General Fund (City),100%,,,10 or more,,"Educational Partners, Department Website, Other Social Media, Community Partnerships, Emails","Educators, Community members, Other","In FY 23-24, staff reached 8,116 youths, including those in underserved categories."
CLA,2023-2024,CLA Internship,No,Interns at the CLA office attend Council and Committee meetings. They are assigned to a group or occasionally rotated among groups to be exposed to different sections/topics.,Unsure of the FY but for well over 10 years.,"Academic Achievement & Education Enrichment, Career Readiness & Financial Empowerment, Leadership Development, Mentorship",Fair,No,1,Exact Amount,Other,No,No,No,"18 to 19, 20 to 25",Post-secondary,Multiple times,,Year-round,All Council Districts,,Estimate,General Fund (City),100%,Council Budget,,1-3,0,"Emails, Educational Partners",Other,"If a school offers educational credit, the CLA office is open to provide any necessary documentation to the school involved."
Controller,2023-2024,Accounting Assistance Internship Program,No,"Program recruits accounting majors from local universities to assist City departments with short term accounting and finance assistance to deal with temporary staffing shortages, clear work backlogs and seasonal workload spikes.",2011-2012,Career Readiness & Financial Empowerment,Poor,No,4,Estimated Amount,Other,No,Yes,No,20 to 25,Post-secondary,One time (drop-in),No,Year-round,All Council Districts,,Estimate,General Fund (City),,,,1-3,0,Other,City department staff,
CulturalAffairs,2023-2024,"Community Arts classes, workshops, and exhibitions",Yes,Multi-disciplinary arts education programs offered throughout the year. Programs are open to people of all backgrounds and skill levels.,,Academic Achievement & Education Enrichment,Fair,Yes,250000,Estimated Amount,,,,,"5 to 8, 9 to 11, 12 to 14, 20 to 25, 25 to 30, 15 to 17","6-8th grade, Pre-K, K-5th grade, 9-12th grade, Post-secondary",Multiple times,Yes,Year-round,All Council Districts,6700000,Estimate,"Other, Special Purpose Funds (City)",0%,0,Arts and Cultural Facilities and Services Trust Fund: $6.7M,50 or more,20,"Newsletter, Emails, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram",Community members,"Community Arts provides multi-disciplinary arts education programs offered throughout the year. Programs are open to people of all backgrounds and skill levels, especially in high need areas."
Disability,2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELPUEBLOLA,2023-2024,Getty Marrow Undergraduate Intern,No,The Getty Marrow Undergraduate Internship focuses on providing students from underrepresented groups exposure to careers in the arts.,2024,"Mentorship, Leadership Development",Good,"No, but there is interest in creating one.",1,Exact Amount,"Race/ethnicity, Gender, LGBTQIA, Disconnected/Opportunity Youth",Unsure,Unsure,No,"18 to 19, 20 to 25",Post-secondary,One time (drop-in),No,Summer,CD 14,,Estimate,Other,0%,,,4-5,4,"Department Website, Other Social Media, Community Partnerships, Other","Community members, Other",The Getty Marrow Undergrdute Internship is done in partnershp with the Getty Museums and El Pueblo Parks Association (non-profit). Outside funding is provided
Emergency_Management,2023-2024,EMD Camp ReadyLA,No,"EMD created and hosts a week-long summer camp titled ""Camp ReadyLA"". The camp program provides youth between the ages of 17 and 22 a look into the life of an emergency manager. Participants gain experience with disaster preparedness, team building, and leadership with scheduled sessions that include: a fire extinguisher demonstration, stop-the-bleed training, CPR training, mock job interviews, press conference simulations, and a resume building workshop. The Camp then culminates with the participation in an EOC functional exercise. Throughout the week, youth hear from speakers such as the EMD General Manager, the LAFD Fire Chief, the LAPD Police Chief, the CalOES Director, and the FEMA Director.",2021-2022,"Leadership Development, Career Readiness & Financial Empowerment, Other",Very good,No,64,Estimated Amount,"Gender, Address or Zipcode, Other",,Yes,,"15 to 17, 20 to 25, 18 to 19",,,No,Summer,All Council Districts,10000,Estimate,Other,< 5%,Emergency Operation Fund (Dept 34),Donations from outside the City,6-9,3,"Emails, Referrals, Community Partnerships, Educational Partners, Outreach Events, Department Website, Instagram, Facebook, Other Social Media, Other","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members, City department staff, Other",
Emergency_Management,2023-2024,EMD Fellows (Intern) Program,No,"EMD created the Intern program in the mid 2000s and has continued the program ever since. The Fellows program provides an opportunity for post-secondary and graduate level students to work as interns in EMD and experience what it would be like to be an Emergency Manager. Fellows continue the program for at least 3 years and work in conjunction with, and alongside EMD staff. Fellows have an opportunity to work on projects and department initiatives, as well as being able to participate in trainings, and exercises.",2010,"Career Readiness & Financial Empowerment, Other",Good,No,50,Estimated Amount,"Race/ethnicity, Gender, Legal Status, Address or Zipcode, Other",Yes,Yes,,"20 to 25, 25 to 30",Post-secondary,,No,Year-round,All Council Districts,1144000,Estimate,General Fund (City),100%,General As Needed Line in EMD Budget for Salaries,,30 or more,0,"Emails, Referrals, Community Partnerships, Educational Partners, Outreach Events, Other, Department Website, Instagram, Facebook, Other Social Media","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Community members, City department staff, Other","State of CA allows for Intermittent Workers to serve up to 1040 hours per year from the date they are hired. The current hourly wage is between $24.99 and $27.27. Funding is $22,880/Fellow/yr."
ERB,2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EthicsCommission,2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWDD,2023-2024,YouthSource/WIOA,Yes,"EWDD administers funding for 14 YouthSource Centers with a focus on high school dropout recovery. All centers offer a full range of education and career pathway assistance services to low-income in-school youth ages 16-21 and out-of-school youth ages 16-24 with barriers such as basic skills deficiencies, status as a foster youth, youth offender, pregnant/parenting youth, homeless youth, or youth with a disability.",,Career Readiness & Financial Empowerment,Good,Yes,7000,Estimated Amount,"Race/ethnicity, Gender, Legal Status, Household Income, Address or Zipcode, Disconnected/Opportunity Youth, Foster care, Justice-involved, Other",Yes,Yes,Yes,"15 to 17, 18 to 19, 20 to 25","9-12th grade, Post-secondary",Multiple times,No,Year-round,All Council Districts,10920000,Estimate,Special Purpose Funds (Federal),,,,10 or more,14,Other,Other,
EWDD,2023-2024,Hire LA's Youth,Yes,"Youth participate in paid work readiness training (TAYWOW) and paid work experiences throughout the City of LA. Core program model begins at 120 hours, paid at City minimum wage.",,Career Readiness & Financial Empowerment,Good,Yes,5300,Estimated Amount,"Race/ethnicity, Gender, Address or Zipcode, Disconnected/Opportunity Youth, Foster care, Justice-involved, Other, Household Income",Yes,Yes,No,"15 to 17, 18 to 19, 20 to 25, 25 to 30","9-12th grade, Post-secondary",Multiple times,No,Year-round,All Council Districts,3153185,Estimate,"General Fund (City), Private Organization, Philanthropic Funds",96%,"Summer Youth Employment Program $2,397,323 || YouthSource Center $635,862",,10 or more,22,Other,Other,
EWDD,2023-2024,Youth @ Work,Yes,"Youth participate in paid work readiness training, career exploration, and on-the-job work experience opportunities. Funding is specialized to cover CalWORKs, Other Underserved Youth, Foster, Systems Involved Youth, Probation",,Career Readiness & Financial Empowerment,Good,Yes,2400,Estimated Amount,"Race/ethnicity, Gender, Address or Zipcode, Disconnected/Opportunity Youth, Foster care, Justice-involved, Other",Yes,Yes,No,"15 to 17, 18 to 19, 20 to 25","9-12th grade, Post-secondary",Multiple times,No,Year-round,All Council Districts,6679496,Estimate,Special Purpose Funds (County),,,,10 or more,22,Other,Other,
EWDD,2023-2024,Californians for All,Yes,Youth participate in paid career exploration and workforce readiness experiences within roles that address critical service needs. City is able to develop career pipelines for early exploration and training.,2022,Career Readiness & Financial Empowerment,Good,Yes,4000,Estimated Amount,"Race/ethnicity, Gender, Household Income, Address or Zipcode, Justice-involved, Disconnected/Opportunity Youth, Foster care, Other",Yes,Yes,No,"15 to 17, 18 to 19, 20 to 25, 25 to 30","9-12th grade, Post-secondary",Multiple times,No,Year-round,All Council Districts,13778931,Estimate,"Special Purpose Funds (Federal), Special Purpose Funds (State)",,,,10 or more,22,Other,Other,
EWDD,2023-2024,Certified Peer Specialist Demonstration Project,No,"As part of the YouthSource Center Redesign, the need to feature youth voice was identified as a key next step",2023,Career Readiness & Financial Empowerment,Fair,Yes,15,Estimated Amount,"Race/ethnicity, Gender, Household Income, Address or Zipcode, Disconnected/Opportunity Youth",Yes,Yes,No,"18 to 19, 20 to 25",Post-secondary,Multiple times,No,"Fall, Winter , Spring",All Council Districts,140000,Estimate,Other,,,,1-3,22,Other,Other,
EWDD,2023-2024,Vision Lab Initiative,No,"Youth participate in technology-based courses and mentorship to youth, and will prepare participants with the skills necessary to pursue technical careers. For youth interested in entrepreneurship, program also offers entrepreneurship training.",,"Career Readiness & Financial Empowerment, Mentorship",Fair,No,250,Estimated Amount,,,,,,,,,,,308736,Estimate,Special Purpose Funds (City),,,"ARPA - Vision Lab $308,736",1-3,4,Other,Other,Participant tracking and reporting handled by MOFOI
Fire,2023-2024,Camp S.P.A.R.K.,No,"Girls Empowerment 2 day camp to show specifically girls, but all are welcome to learn about what it takes to be a firefighter.",2016,"Career Readiness & Financial Empowerment, Leadership Development, Mentorship",Very good,Yes,89,Exact Amount,"Race/ethnicity, Gender, Address or Zipcode",Yes,Yes,No,15 to 17,9-12th grade,One time (drop-in),Yes,Spring,"CD 15, CD 6, CD 1",6000,Estimate,Special Purpose Funds (City),,,,20 or more,3,"Instagram, Department Website, Educational Partners, Community Partnerships, Referrals","""Parents, guardings, caregivers"", Educators, Community members, City department staff",This program is also currently on hold until further notice due to budget cuts.
Fire,2023-2024,Youth FIRE Academy,Yes,"7 Saturdays of firefighter fighting skills, CPR/FIrst Aid, physical fitness, leadership and mentorship",2000,"Career Readiness & Financial Empowerment, Leadership Development, Mentorship",Very good,Yes,540,Exact Amount,"Race/ethnicity, Gender, Address or Zipcode",Yes,Yes,No,15 to 17,9-12th grade,Multiple times,Yes,"Fall, Spring, Summer","CD 1, CD 6, CD 15",49000,Estimate,Private Organization,,,,10 or more,1,"Emails, Referrals, Community Partnerships, Educational Partners, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", Educators, Community members, City department staff, Social workers","This program is held once a year each in the Harbor, Central and Valley drill towers.  There are 4 phases that students can return to complete each year. Basic Engine Operations, Truck Operations, First Aid & Disaster Preparedness and Leadership.  We are currently on hold until further notice with this program due to budget cuts that involve staffing and resources."
Fire,2023-2024,Firefighter/EMS High School Magnet Program,Yes,"High School Magnet program offering Firefighting and Emergency Medical Services exposure, training, guidance and mentorship",2016,"Career Readiness & Financial Empowerment, Leadership Development, Mentorship",Fair,No,462,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,No,15 to 17,9-12th grade,Multiple times,Yes,"Fall, Winter , Spring","CD 1, CD 6, CD 15, CD 9",12000,Estimate,Private Organization,,,,4-5,3,"Referrals, Educational Partners, Department Website, Instagram, Facebook","""Parents, guardings, caregivers"", Educators","This program is still happening at Dorsey, Banning, Wilson and Monroe High School but on a very limited capacity.  We used to have a firefighter assigned to each school to work with students during PE at least twice a week.  We are currently working with only one firefighter to show up to each school at least once a week.  With the hopes to get staffing back up in the future, this program is currently just getting by with minimal support from LAFD."
Fire,2023-2024,Cadet Program,Yes,"This is the highest tier of the youth programs pathway. LAFD Cadets are comprised of youth that go through a acceptance process that includes a baseline fitness test, letters of recommendation, report card GPA at a minimum of 2.0, and interviews.  This program seeks out maturity, commitment, physical fitness level, leadership and the desire to become a firefighter.",,"Career Readiness & Financial Empowerment, Leadership Development, Mentorship",Very good,Yes,,Estimated Amount,"Race/ethnicity, Gender, Address or Zipcode",Yes,Yes,No,"15 to 17, 18 to 19","9-12th grade, Post-secondary",Multiple times,Yes,Year-round,All Council Districts,13000,Estimate,Special Purpose Funds (City),,,,20 or more,0,"Department Website, Emails, Referrals, Educational Partners","""Parents, guardings, caregivers"", Educators, Community members, City department staff",The Cadet Program is still active with an orientation for new cadets held annually.  We currently have 8 Cadet Posts spread out throughout the city.  The goal in the future is to double that at minimum but with our current budget and resources this is not available.
FirePolicePensions,2023-2024,Girls Who Invest,No,Summer internship to encourage female college students to pursue a career in investments.,2023-2024,"Academic Achievement & Education Enrichment, Career Readiness & Financial Empowerment, Leadership Development, Mentorship",Very good,Yes,3200,Estimated Amount,Gender,Unsure,Unsure,Unsure,20 to 25,Post-secondary,Multiple times,No,Summer,CD 14,10000,Estimate,Other,,,,4-5,1,Other,Other,
GeneralServices,2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HACLA,2023-2024,PILOT/Work Experience,Yes,"HACLA-PILOT focuses on preparing youth ages 14-24  living in public housing developments across the city. It is designed to provide work experience, as well as address topics of post-secondary options, financial aid, pathways to careers and financial literacy.",2023-2024,Career Readiness & Financial Empowerment,Good,Yes,100,Estimated Amount,"Race/ethnicity, Gender, LGBTQIA, Household Income, Address or Zipcode, Disconnected/Opportunity Youth, Foster care, Justice-involved",Yes,Yes,Yes,"12 to 14, 15 to 17, 18 to 19, 20 to 25","9-12th grade, 6-8th grade, Post-secondary",Multiple times,Yes,Year-round,All Council Districts,1075000,Estimate,Special Purpose Funds (City),,,,,,"Emails, Newsletter, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Instagram, Facebook","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Social workers, Community members, City department staff",One of our HACLA residents who took advantage of the opportunity through PILOT's work experience program during the summer and ultimately secured a stable job with HACLA-YEP as an Administrative Intern I
HACLA,2023-2024,County of Los Angeles Probation Department for the Juvenile Justice Crime Prevention Act (JJCPA),Yes,"The program targets youth ages ten to eighteen who are either juvenile justice-involved or considered at-risk within public housing developments and surrounding neighborhoods. Recruitment is achieved through both partner referrals and self-referrals, ensuring accessibility for those most in need of support. is structured around individualized case management and offers a comprehensive array of specialized social services, enrichment activities, and community engagement opportunities. These services are designed to holistically address the diverse needs of participants while providing consistent and meaningful support.",2023-2024,Academic Achievement & Education Enrichment,Excellent,Yes,144,Exact Amount,"Race/ethnicity, Gender, Household Income, Address or Zipcode, Foster care, Justice-involved",Yes,Yes,Yes,"9 to 11, 12 to 14, 15 to 17, 18 to 19","K-5th grade, 6-8th grade, 9-12th grade, Post-secondary",Multiple times,Yes,Year-round,All Council Districts,654000,Exact,Special Purpose Funds (County),,,,4-5,,"Emails, Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Instagram","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Social workers, Community members, City department staff",
HACLA,2023-2024,Boys and Girls Club of West San Gabriel Valley and Eastside - Estrada Courts,Yes,"Provide youth development services in recreation, socialization, education, digital literacy, sports, arts, leadership development and community engagement.",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,135,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,No,"5 to 8, 9 to 11, 12 to 14, 15 to 17, 18 to 19, 20 to 25","K-5th grade, 6-8th grade, 9-12th grade, Post-secondary",Multiple times,Yes,Year-round,,415995,Exact,"Special Purpose Funds (City), Private Organization, Philanthropic Funds, Other",,,,4-5,1,"Physical Flyers, Referrals, Community Partnerships, Educational Partners, Outreach Events, Instagram, Facebook, LinkedIn, TikTok","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Social workers, Other, City department staff, Community members",
HACLA,2023-2024,Boys and Girls Club of West San Gabriel Valley and Eastside - Ramona Gardens,Yes,"Provide youth development services in recreation, socialization, education, digital literacy, sports, arts, leadership development and community engagement.",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,144,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,No,"5 to 8, 12 to 14, 9 to 11, 15 to 17","K-5th grade, 6-8th grade, 9-12th grade",Multiple times,Yes,Year-round,,379778,Exact,"Special Purpose Funds (City), Private Organization, Philanthropic Funds, Other",,,,4-5,1,,,
HACLA,2023-2024,Boys and Girls Club of West San Gabriel Valley and Eastside - William Mead,Yes,"Provide youth development services in recreation, socialization, education, digital literacy, sports, arts, leadership development and community engagement.",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,81,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,Yes,"5 to 8, 9 to 11, 12 to 14, 15 to 17","K-5th grade, 6-8th grade, 9-12th grade",Multiple times,Yes,Year-round,,222042,Exact,"Special Purpose Funds (City), Private Organization, Philanthropic Funds, Other",,,,4-5,1,,,
HACLA,2023-2024,Boys and Girls Club of Los Angeles Harbor - Rancho San Pedro,Yes,"Provide youth development services in recreation, socialization, education, digital literacy, sports, arts, leadership development and community engagement.",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,85,Estimated Amount,"Race/ethnicity, Gender",Yes,Yes,,"5 to 8, 9 to 11, 12 to 14, 15 to 17","9-12th grade, 6-8th grade, K-5th grade",Multiple times,Yes,Year-round,,792000,Exact,"Special Purpose Funds (City), Private Organization, Philanthropic Funds, Other",,,,4-5,1,,,
HACLA,2023-2024,Boys and Girls Club of Santa Monica - Mar Vista Gardens,Yes,"Provide youth development services in recreation, socialization, education, digital literacy, sports, arts, leadership development and community engagement.",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,187,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,"5 to 8, 9 to 11, 12 to 14, 15 to 17","9-12th grade, 6-8th grade, K-5th grade",Multiple times,Yes,Year-round,,586000,Exact,"Special Purpose Funds (City), Private Organization, Philanthropic Funds, Other",,,,4-5,1,,,
HACLA,2023-2024,YMCA North Valley/Porter Ranch - San Fernando Gardens,Yes,"Provide youth development services in recreation, socialization, education, digital literacy, sports, arts, leadership development and community engagement.",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,,,,Yes,Yes,,"5 to 8, 9 to 11, 12 to 14, 15 to 17","9-12th grade, 6-8th grade, K-5th grade",Multiple times,Yes,Year-round,,85000,Exact,Special Purpose Funds (City),,,,4-5,1,,,
HACLA,2023-2024,Watts Empowerment Center/REDEYE - Imperial Courts,Yes,"Provide youth development services in recreation, socialization, education, digital literacy, sports, arts, leadership development and community engagement.",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,350,Estimated Amount,"Race/ethnicity, Gender",Yes,Yes,,"18 to 19, 15 to 17, 12 to 14, 9 to 11, 5 to 8","K-5th grade, 6-8th grade, 9-12th grade",Multiple times,Yes,Year-round,,6644587,Exact,"Special Purpose Funds (City), Private Organization, Philanthropic Funds, Other",,,,4-5,1,,,
HACLA,2023-2024,Los Angeles Metropolitan Church - Nickerson Gardens,Yes,"Provide youth development services in recreation, socialization, education, digital literacy, sports, arts, leadership development and community engagement.",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,250,Estimated Amount,"Race/ethnicity, Gender",Yes,Yes,,"20 to 25, 18 to 19, 15 to 17, 12 to 14, 9 to 11, 5 to 8","K-5th grade, 6-8th grade, 9-12th grade",Multiple times,Yes,Year-round,,412685,Exact,"Special Purpose Funds (City), Philanthropic Funds, Other, Private Organization",,,,6-9,1,,,
HACLA,2023-2024,Children Mending Hearts - Jordan Downs,Yes,"Provide youth development services in recreation, socialization, education, digital literacy, sports, arts, leadership development and community engagement.",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,250,Estimated Amount,"Race/ethnicity, Gender",Yes,Yes,,"15 to 17, 12 to 14, 9 to 11, 18 to 19, 20 to 25","K-5th grade, 6-8th grade, 9-12th grade",Multiple times,Yes,Year-round,,750000,Estimate,"Special Purpose Funds (Federal), Special Purpose Funds (City), Philanthropic Funds, Private Organization, Other",,,,4-5,1,,,
HACLA,2023-2024,Foundation for Early Childhood Education - Estrada Courts,Yes,Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,16,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,654430,Exact,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,Foundation for Early Childhood Education - Ramona Gardens,Yes,Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,18,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,336058,Exact,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,Foundation for Early Childhood Education - William Mead,Yes,Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,17,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,428621,Exact,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,Foundation for Early Childhood Education - Pico Gardens,Yes,Early Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,15,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,825911,Exact,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,Children's Institute - Jordan Downs,Yes,Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,41,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,450000,Estimate,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,Children's Institute - Imperial Courts,Yes,Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,34,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,450000,Estimate,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,Children's Institute - Nickerson Gardens,Yes,Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,27,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,450000,Estimate,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,Children's Institute - Avalon Gardens,Yes,Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,23,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,450000,Estimate,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,Children's Institute - Gonzaque Village,Yes,Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,21,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,450000,Estimate,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,International Institute - Estrada Courts,Yes,Childcare center and Pre-school for children 2-5.,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,30,Estimated Amount,"Gender, Race/ethnicity",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,400000,Estimate,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,"Volunteers of America - Mar Vista Gardens, San Fernando Gardens",Yes,Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,16,Exact Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,450000,Estimate,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,Mexican American Opportunity Foundation - Pueblo del Rio,Yes,Head Start and State Preschool Early Childhood programs,2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,15,Estimated Amount,"Race/ethnicity, Gender",Yes,Yes,,0 to 5,Pre-K,Multiple times,Yes,Year-round,,400000,Estimate,Special Purpose Funds (County),,,,4-5,1,,,
HACLA,2023-2024,"Computer Learning Centers - Avalon Gardens, Gonzaque Village, William Mead, Ramona Gardens, Nickerson Gardens, Jordan Downs, Imperial Courts, San Fernando Gardens, Mar Vista Gardens",Yes,"Digital literacy programming for residents including basic computer skills, MS Office, research techniques, etc.",2023-2024,Academic Achievement & Education Enrichment,Very good,Yes,850,Estimated Amount,,,,,"5 to 8, 9 to 11, 12 to 14, 15 to 17, 18 to 19, 20 to 25, 25 to 30",,Multiple times,Yes,Year-round,,568409,Exact,Special Purpose Funds (City),,,,10 or more,1,"Emails, Physical Flyers, Community Partnerships, Referrals, Educational Partners, Outreach Events, Other, Department Website, Instagram, TikTok","""Parents, guardings, caregivers"", ""Relatives (siblings, grandparents, etc.)"", Educators, Social workers, Community members, City department staff, Other",
